Met;BII center;BI center;Type
A87272;1.98;0.94;eucrites
A881819;1.965;0.93;eucrites
ALH78132;1.955;0.93;eucrites
ALH85001;1.95;0.925;eucrites
ALHA76005;1.971;0.9349;eucrites
Bereba;2.015;0.94;eucrites
Bouvante;2.005;0.945;eucrites
Cachari;1.995;0.9405;eucrites
EET87542;1.995;0.945;eucrites
EET90020;2.005;0.9399;eucrites
EETA79005;1.97;0.9351;eucrites
GRO95533;2.015;0.94;eucrites
Ibitira;1.995;0.9402;eucrites
Jonzac;2.004;0.941;eucrites
Juvinas;1.995;0.935;eucrites
LEW87004;1.9705;0.9349;eucrites
Millbillillie;2.005;0.9351;eucrites
MooreCounty;1.985;0.93495;eucrites
PCA82502;2.01;0.94;eucrites
Padvarninkai;2.035;0.951;eucrites
Pasamonte;2;0.939;eucrites
SerradeMage;1.965;0.931;eucrites
Stannern;2.005;0.94;eucrites
Y74450;1.98;0.935;eucrites
Y792510;2.005;0.942;eucrites
Y792769;2.01;0.941;eucrites
A881526;1.905;0.919;diogenites
ALH77256;1.905;0.92;diogenites
AiounelAtrouss;1.92;0.925;diogenites
EETA79002;1.9;0.918;diogenites
GRO95555;1.919;0.92;diogenites
Johnstown;1.895;0.915;diogenites
LAP91900;1.915;0.92;diogenites
Tatahouine;1.905;0.9195;diogenites
Y74013;1.921;0.921;diogenites
Y75032;1.945;0.925;diogenites
Bununu;1.95050;0.9301;Howardites
EET83376;1.96050;0.935;Howardites
EET87503;1.95000;0.9302;Howardites
EET87513;1.96500;0.935;Howardites
Frankfort;1.95010;0.9301;Howardites
GRO95535;1.96000;0.929;Howardites
Kapoeta;1.95500;0.9298;Howardites
LeTeilleul;1.94520;0.93;Howardites
Petersburg;1.97500;0.935;Howardites
QUE94200;1.93000;0.925;Howardites
Y7308;1.94500;0.925;Howardites
Y790727;1.95500;0.9295;Howardites
Y791573;1.94010;0.93;Howardites
LEW87004;1.97;0.935;cumulates
A881819;1.965;0.931;cumulates
ALH78132;1.955;0.93;cumulates
ALHA76005;1.97;0.9351;cumulates
EETA79005;1.97;0.935;cumulates
LEW87004;1.97;0.9349;cumulates
MooreCounty;1.985;0.935;cumulates
SerradeMage;1.965;0.93;cumulates
Y74450;1.98;0.935;cumulates
Y792769;2.01;0.94;cumulates
ALH85001 ;1.95;0.925;cumulates
